Date du jour;Affaire Maitre;Identifiant du projet;Trigramme;Repere;Type M-O;Libellé de la tâche;Qte Prévue;Qte Réalisée;Charge prévisionnelle;VBTR;Charge restante;Avancement effectif;TP;type Ot;Lot; Zone;Stade;Monteur;Code du responsable;Code libre Table
2026-03-11;1935;1935-4-0102B-B5C;Auto;Pointage;MODefaut;MO PAR DEFAUT;0,0100;0,0000;0,01;0,00;0,01;0,00;0,00;10_Phase 1 CDC;424;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0102B-B5C;B5C;424E000;CC_C3;CDC de type fil largeur 300;0,8000;0,8000;0,74;0,74;0,00;99,99;0,00;10_Phase 1 CDC;424;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;Auto;Pointage;MODefaut;MO PAR DEFAUT;0,0100;0,0000;0,01;0,00;0,01;0,00;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E036;CC_C3;CDC de type fil largeur 300;1,8000;1,8000;1,66;1,66;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E030;CC_C3;CDC de type fil largeur 300;1,7000;1,7000;1,56;1,56;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E076;CC_C3;CDC de type fil largeur 300;0,5000;0,5000;0,46;0,46;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E080;CC_C3;CDC de type fil largeur 300;0,5000;0,5000;0,46;0,46;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E082;CC_C3;CDC de type fil largeur 300;2,3000;2,3000;2,12;2,12;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E088;CC_C3;CDC de type fil largeur 300;2,3000;2,3000;2,12;2,12;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E090;CC_C3;CDC de type fil largeur 300;0,7000;0,7000;0,64;0,64;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
2026-03-11;1935;1935-4-0224A-B5C;B5C;434E079;CC_C3;CDC de type fil largeur 300;2,6000;2,6000;2,39;2,39;0,00;99,99;0,00;10_Phase 1 CDC;434;B5C;Bloc;Gestal;dts;MONTA
