Affaire; OT;Lot;Date début;TRI;Rep;Quantité Besoin;Quantité en préparation;Quantité sortie;Référence interne;Désignation produit;Statut du projet
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;46,00000;5,00000;0,00;05-2144-0703B;Autocollant "Traçage électrique";En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;2,00000;0,00000;0,00;27-5452-42111210;Boitier de jonction universel;En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;17,00000;0,00000;0,00;07-5177-9024;Boitier de jonction, 1 circuit;En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;18,00000;0,00000;0,00;27-59CX-73010001;CAK-SRG;En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;1,00000;0,00000;0,00;70820278;Collier acier 2 trous de Ø273 (x5);En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;15,00000;0,00000;0,00;70820079;Collier acier 2 trous de Ø76 (x30);En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;200,00000;200,00000;0,00;07-5853-725F;PSB-26-CuF-T5 (8PSB2-CT);En attente
1935;1935-MONTA-Bord-x-BARTEC;-;2026-01-28;BART;Bartec;10,00000;2,00000;0,00;02-5500-0005;PT-164 rouleau adhésif polyester;En attente
1935;1935-X-MODI-AB776358;-;2025-12-18;-;AB;78,00000;6,00000;72,00;SA042191;CC (C5) CF54/500 Inox 316L;En attente
1935;1935-4-0102B-B5C;424;2025-10-20;B5C;CDC;0,80000;0,00000;1,00;SA045841;CC (CCR3) HDF 54/300 BD EZ (x288m);En cours
1935;1935-4-0326B-B5C;424;2025-10-18;B5C;CDC;5,60000;0,00000;6,00;SA045839;CC (CCR1) HDF 54/100 BD EZ (x648m);En cours
1935;1935-4-0326B-B5C;424;2025-10-18;B5C;CDC;2,00000;0,00000;3,00;SA045840;CC (CCR2) HDF 54/200 BD EZ (x288m);En cours
1935;1935-4-0326B-B5C;424;2025-10-18;B5C;CDC;6,10000;0,00000;9,00;SA045841;CC (CCR3) HDF 54/300 BD EZ (x288m);En cours
1935;1935-4-0326B-B5C;424;2025-10-18;B5C;CDC;1,80000;0,00000;3,00;SA045842;CC (CCR4) CF 54/400 BS EZ (x198m);En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;4,00000;0,00000;4,00;SA045789;C15° - P31 100x100 GS-487814;En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;2,80000;0,00000;3,00;SA045839;CC (CCR1) HDF 54/100 BD EZ (x648m);En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;18,80000;0,00000;0,00;SA045839;CC (CCR1) HDF 54/100 BD EZ (x648m);En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;0,90000;0,00000;3,00;SA045840;CC (CCR2) HDF 54/200 BD EZ (x288m);En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;14,60000;0,00000;0,00;SA045840;CC (CCR2) HDF 54/200 BD EZ (x288m);En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;5,20000;0,00000;6,00;SA045841;CC (CCR3) HDF 54/300 BD EZ (x288m);En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;6,00000;0,00000;0,00;SA045795;Cht plan conc P31-15° 100x100 GS;En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;4,00000;0,00000;4,00;SA045795;CHT PLAN CONCP31-15°100X100 487988;En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;0,80000;0,00000;0,00;SA042028;P31 Dalle emboutie M/F 100x100 GS;En cours
1935;1935-4-424-B7C2;424;2025-11-27;B7C;CDC;0,90000;0,00000;3,00;SA042028;P31 Dalle emboutie M/F 100x100 GS;En cours
1935;1935-4-424-F7B;424;2025-10-20;ECD;SERVICE STAIRS;2,00000;0,00000;0,00;4000026279;Appareillage-Prise EL-Rep Y102;En cours
1935;1935-4-424-F7B;424;2025-10-20;ECD;ESC.;2,00000;0,00000;2,00;SA051836;Eclairage - Luminaire - Rep A004;En cours
